ID,Nationality,DistributionChannel,MarketSegment,SRAccessibleRoom,SRCrib,SRNoAlcoholInMiniBar,SRQuietRoom,PersonRoomRatio,BookingConversionRate,Continent,AccompanyingGuest,MultipleRooms,AgeGroup,LeadTimeSegment,FloorAsked,BathAsked,BedAsked,DistanceElevatorAsked,OtherRevenue_log,TotalRevenue_log,SpendingPerPerson_log,PersonsNights_log,AvgPersonsPerBooking_log,SpendingTier
9899,PRT,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,-0.8117417545059034,-1.1228529927632804,-1.833714987646805,0.22215965880553115,0.2508684234374123,Low Spender
9917,PRT,Travel Agent/Operator,Groups,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,1,1,30-50,Standard (7-30 Days),Not specified,Not specified,Not specified,Not specified,-3.5828834912543805,-7.229316646121921,-7.255891196480117,-1.261529814402917,-1.2322953047188683,Low Spender
9919,FIN,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,1.0776063949496688,1.4494173458744493,-0.6510079082022615,2.4512291056422737,2.479147999985409,High Spender
9926,ESP,Direct,Direct,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.4598285105732383,2.5680567126118103,1.5341099392414852,1.7759018214087134,1.8040600178327024,High Spender
9927,ESP,Direct,Direct,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,2.4992280892417758,2.4013405345240906,1.307106301846226,1.7759018214087134,1.8040600178327024,High Spender
9943,PRT,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.827914708154326,0.9991673562480894,-0.7849671151529334,1.9706672181825817,1.9987563995292676,High Spender
9967,DEU,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.459510468646636,2.111430922236005,0.5434451703687911,2.145921731200507,2.173948811147437,High Spender
9978,AUT,Travel Agent/Operator,Other,0,0,0,0,-1.4177524886548212,0.03924461024147855,Western Europe,0,0,30-50,Last-Minute (<7 Days),Not specified,Not specified,KingSizeBed,Not specified,-0.0938386713419454,0.2635983544750499,2.999773759798525,-1.9715331565316145,-1.9420470573129047,High Spender
10004,BEL,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.6777161536733989,1.3140585484441552,-0.6142570433736413,2.2273821723486074,2.255380386805383,High Spender
10012,PRT,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,2.4087975477574712,1.5968980909123205,0.21467900373251175,1.7759018214087134,1.8040600178327024,High Spender
10016,FRA,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),HighFloor,Not specified,KingSizeBed,Not specified,3.244948633253313,2.7751374797864865,1.620592227861516,1.9706672181825817,1.9987563995292676,High Spender
10017,PRT,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),HighFloor,Not specified,KingSizeBed,Not specified,0.8147305415072186,0.8238663162013559,-1.0198627865748309,1.9706672181825817,1.9987563995292676,High Spender
10031,CHE,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,TwinBed,Not specified,1.2022576924503678,1.322818783375421,-0.6024796143504186,2.2273821723486074,2.255380386805383,High Spender
10050,CHE,Travel Agent/Operator,Other,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,30-50,Standard (7-30 Days),HighFloor,Not specified,TwinBed,Not specified,0.90078030688156,1.2547462887680962,-0.441339084446259,1.9706672181825817,1.9987563995292676,High Spender
10051,NOR,Travel Agent/Operator,Other,0,0,0,0,0.0845641262745221,0.03924461024147855,Northern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.736605095184211,1.9171717708164215,-0.3875610976922232,2.8279071363871613,2.855692554949481,High Spender
10055,JPN,Travel Agent/Operator,Other,0,0,0,0,-1.4177524886548212,0.03924461024147855,Other,1,1,30-50,Standard (7-30 Days),Not specified,Not specified,TwinBed,Not specified,-0.210940602039908,1.0347225477429456,2.9001475567423802,-1.261529814402917,-1.2322953047188683,High Spender
10057,ESP,Corporate,Corporate,0,0,0,0,-1.4177524886548212,-30.230701131816467,Southern Europe,1,1,<30,Last-Minute (<7 Days),Not specified,Not specified,Not specified,Not specified,-1.016899866058769,-1.0136863275287582,0.10473534603213175,-1.261529814402917,-1.2322953047188683,Low Spender
10061,NOR,Direct,Direct,0,0,0,0,4.591513971062552,0.03924461024147855,Northern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,1.3188933040864612,0.9859241657704537,-0.5042473453810004,1.6697430342672201,1.6979388480350615,High Spender
10074,IRL,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,1.5868807412038655,0.03924461024147855,Northern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.6651162704740937,0.7655474054350712,-1.3482097036272247,2.2273821723486074,2.255380386805383,High Spender
